"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"18/06/2025","8.900","8.950","9.025","8.900","86,27M","-1,93%"
"17/06/2025","9.075","8.975","9.100","8.975","54,93M","1,68%"
"16/06/2025","8.925","8.925","9.000","8.900","57,83M","-1,11%"
"13/06/2025","9.025","9.100","9.125","8.975","83,32M","-1,10%"
"12/06/2025","9.125","9.000","9.125","9.000","41,34M","0,83%"
"11/06/2025","9.050","9.100","9.125","9.050","56,63M","-0,55%"
"10/06/2025","9.100","8.975","9.100","8.950","80,41M","1,96%"
"05/06/2025","8.925","9.000","9.050","8.900","95,53M","-0,56%"
"04/06/2025","8.975","9.100","9.125","8.950","93,36M","-0,83%"
"03/06/2025","9.050","9.050","9.125","8.950","128,32M","-0,55%"
"02/06/2025","9.100","9.025","9.175","9.025","264,43M","-3,19%"
"28/05/2025","9.400","9.450","9.550","9.400","236,95M","-0,53%"
"27/05/2025","9.450","9.550","9.600","9.450","93,21M","-1,82%"
"26/05/2025","9.625","9.600","9.650","9.500","56,63M","-0,52%"
"23/05/2025","9.675","9.775","9.775","9.625","61,19M","0,26%"
"22/05/2025","9.650","9.800","9.800","9.650","103,11M","-0,52%"
"21/05/2025","9.700","9.700","9.725","9.550","169,74M","2,37%"
"20/05/2025","9.475","9.500","9.675","9.475","160,61M","-0,26%"
"19/05/2025","9.500","9.275","9.500","9.250","111,60M","2,15%"
"16/05/2025","9.300","9.300","9.325","9.225","63,01M","0,27%"
"15/05/2025","9.275","9.275","9.400","9.250","101,40M","0,00%"
"14/05/2025","9.275","9.250","9.300","9.150","149,00M","3,06%"
"09/05/2025","9.000","9.050","9.050","8.975","47,17M","0,28%"
"08/05/2025","8.975","9.075","9.200","8.925","99,61M","-1,10%"
"07/05/2025","9.075","9.075","9.100","9.000","77,38M","0,55%"
"06/05/2025","9.025","9.050","9.050","8.975","48,86M","0,56%"
"05/05/2025","8.975","9.000","9.050","8.975","86,39M","0,00%"
"02/05/2025","8.975","9.000","9.000","8.850","92,22M","1,70%"
"30/04/2025","8.825","8.800","8.925","8.675","164,60M","1,15%"
"29/04/2025","8.725","8.800","8.825","8.700","60,32M","-0,57%"
"28/04/2025","8.775","8.750","8.775","8.650","73,24M","2,03%"
"25/04/2025","8.600","8.650","8.650","8.575","58,30M","1,47%"
"24/04/2025","8.475","8.850","8.850","8.475","143,68M","-2,87%"
"23/04/2025","8.725","8.550","8.725","8.550","92,33M","2,65%"
"22/04/2025","8.500","8.325","8.500","8.325","56,54M","2,41%"
"21/04/2025","8.300","8.500","8.500","8.300","40,68M","-2,35%"
"17/04/2025","8.500","8.450","8.500","8.350","83,54M","0,29%"
"16/04/2025","8.475","8.500","8.550","8.425","76,89M","-1,17%"
"15/04/2025","8.575","8.575","8.600","8.450","83,43M","2,08%"
"14/04/2025","8.400","8.250","8.400","8.250","83,32M","1,51%"
"11/04/2025","8.275","8.200","8.325","8.050","82,61M","0,61%"
"10/04/2025","8.225","8.500","8.650","8.175","144,15M","3,79%"
"09/04/2025","7.925","7.700","7.950","7.675","136,75M","1,93%"
"08/04/2025","7.775","7.400","8.000","7.275","533,07M","-8,53%"
"27/03/2025","8.500","8.425","8.575","8.375","122,94M","-0,29%"
"26/03/2025","8.525","8.300","8.650","8.275","283,10M","5,90%"
"25/03/2025","8.050","8.075","8.150","8.000","136,34M","1,26%"
"24/03/2025","7.950","7.825","8.100","7.625","331,84M","0,63%"
"21/03/2025","7.900","8.275","8.275","7.900","377,92M","-5,67%"
"20/03/2025","8.375","8.450","8.475","8.350","152,92M","0,60%"
"19/03/2025","8.325","8.300","8.400","8.225","214,11M","0,30%"
"18/03/2025","8.300","8.500","8.550","8.075","417,31M","-3,49%"
"17/03/2025","8.600","8.750","8.775","8.550","151,37M","-1,71%"
"14/03/2025","8.750","8.800","8.925","8.750","111,40M","-2,51%"
"13/03/2025","8.975","9.150","9.175","8.975","83,03M","-1,64%"
"12/03/2025","9.125","9.025","9.125","8.975","87,97M","2,24%"
"11/03/2025","8.925","8.950","9.050","8.875","109,30M","0,00%"
"10/03/2025","8.925","8.750","8.975","8.725","97,65M","0,00%"
"07/03/2025","8.925","9.000","9.000","8.925","82,30M","-0,56%"
"06/03/2025","8.975","9.200","9.200","8.975","96,27M","-0,28%"
"05/03/2025","9.000","8.825","9.175","8.825","155,21M","1,69%"
"04/03/2025","8.850","8.900","8.925","8.675","125,42M","0,57%"
"03/03/2025","8.800","8.600","8.900","8.550","192,94M","4,45%"
"28/02/2025","8.425","8.525","8.675","8.425","293,10M","-1,17%"
