date,Aggravated Assault,Robbery,Larceny-Theft
2006-01-01,47,22,91
2006-01-02,19,26,85
2006-01-03,16,47,92
2006-01-04,20,28,130
2006-01-05,13,24,93
2006-01-06,18,30,99
2006-01-07,27,33,102
2006-01-08,14,32,84
2006-01-09,26,47,110
2006-01-10,29,19,96
2006-01-11,14,27,119
2006-01-12,18,32,108
2006-01-13,27,27,82
2006-01-14,33,32,77
2006-01-15,29,27,58
2006-01-16,21,31,116
2006-01-17,21,20,98
2006-01-18,22,22,88
2006-01-19,22,22,93
2006-01-20,28,28,102
2006-01-21,30,24,102
2006-01-22,29,41,83
2006-01-23,27,33,123
2006-01-24,37,29,110
2006-01-25,19,30,109
2006-01-26,20,17,85
2006-01-27,30,34,88
2006-01-28,23,24,87
2006-01-29,27,33,92
2006-01-30,27,25,121
2006-01-31,12,24,100
2006-02-01,19,28,111
2006-02-02,24,22,90
2006-02-03,24,29,107
2006-02-04,32,17,93
2006-02-05,31,26,90
2006-02-06,20,24,107
2006-02-07,22,25,87
2006-02-08,23,14,108
2006-02-09,25,25,79
2006-02-10,23,24,102
2006-02-11,15,21,75
2006-02-12,24,16,42
2006-02-13,14,29,81
2006-02-14,19,21,74
2006-02-15,23,21,78
2006-02-16,24,27,88
2006-02-17,26,35,76
2006-02-18,34,23,100
2006-02-19,45,21,59
2006-02-20,28,18,89
2006-02-21,14,30,76
2006-02-22,23,26,100
2006-02-23,23,25,88
2006-02-24,16,25,99
2006-02-25,29,22,89
2006-02-26,19,18,67
2006-02-27,21,24,98
2006-02-28,23,23,98
2006-03-01,25,28,99
2006-03-02,25,18,82
2006-03-03,22,22,72
2006-03-04,27,28,96
2006-03-05,26,26,83
2006-03-06,26,27,89
2006-03-07,19,21,85
2006-03-08,21,25,92
2006-03-09,36,32,93
2006-03-10,32,20,93
2006-03-11,38,26,96
2006-03-12,24,28,92
2006-03-13,26,26,110
2006-03-14,26,18,83
2006-03-15,21,18,74
2006-03-16,27,20,85
2006-03-17,24,33,109
2006-03-18,29,25,92
2006-03-19,25,24,91
2006-03-20,20,19,98
2006-03-21,29,27,96
2006-03-22,21,19,102
2006-03-23,30,20,120
2006-03-24,32,30,99
2006-03-25,33,28,81
2006-03-26,35,26,79
2006-03-27,27,26,115
2006-03-28,29,33,108
2006-03-29,50,18,94
2006-03-30,37,32,118
2006-03-31,39,33,91
2006-04-01,27,23,72
2006-04-02,29,10,79
2006-04-03,17,23,80
2006-04-04,16,34,107
2006-04-05,21,16,105
2006-04-06,39,25,89
2006-04-07,28,30,95
2006-04-08,25,32,80
2006-04-09,25,23,83
2006-04-10,26,24,106
2006-04-11,27,25,80
2006-04-12,28,26,104
2006-04-13,20,34,81
2006-04-14,34,28,89
2006-04-15,45,28,108
2006-04-16,33,24,82
2006-04-17,28,20,97
2006-04-18,44,21,82
2006-04-19,34,39,103
2006-04-20,30,28,100
2006-04-21,25,36,96
2006-04-22,28,26,68
2006-04-23,21,27,87
2006-04-24,29,33,124
2006-04-25,24,36,111
2006-04-26,18,21,119
2006-04-27,24,26,95
2006-04-28,37,43,102
2006-04-29,42,25,77
2006-04-30,49,30,83
2006-05-01,29,29,113
2006-05-02,34,29,121
2006-05-03,40,37,88
2006-05-04,28,18,102
2006-05-05,24,31,114
2006-05-06,30,27,96
2006-05-07,29,28,88
2006-05-08,23,27,113
2006-05-09,32,32,98
2006-05-10,40,34,105
2006-05-11,23,29,108
2006-05-12,19,34,119
2006-05-13,37,33,101
2006-05-14,28,31,95
2006-05-15,21,31,101
2006-05-16,27,32,123
2006-05-17,33,27,111
2006-05-18,31,28,119
2006-05-19,34,29,116
2006-05-20,27,19,90
2006-05-21,39,26,96
2006-05-22,42,32,139
2006-05-23,31,25,135
2006-05-24,31,34,118
2006-05-25,38,32,115
2006-05-26,26,25,122
2006-05-27,40,25,116
2006-05-28,52,28,107
2006-05-29,41,31,87
2006-05-30,27,35,124
2006-05-31,32,29,136
2006-06-01,18,29,71
2006-06-02,36,38,129
2006-06-03,36,26,122
2006-06-04,39,34,101
2006-06-05,31,53,147
2006-06-06,43,24,118
2006-06-07,15,24,124
2006-06-08,20,27,129
2006-06-09,31,35,118
2006-06-10,27,28,96
2006-06-11,39,34,95
2006-06-12,40,35,115
2006-06-13,26,21,111
2006-06-14,39,33,108
2006-06-15,31,26,118
2006-06-16,43,22,124
2006-06-17,22,27,104
2006-06-18,36,16,63
2006-06-19,29,25,112
2006-06-20,32,19,129
2006-06-21,36,26,125
2006-06-22,34,21,108
2006-06-23,35,33,118
2006-06-24,33,38,87
2006-06-25,28,32,104
2006-06-26,34,34,109
2006-06-27,18,31,133
2006-06-28,30,33,112
2006-06-29,34,42,106
2006-06-30,35,39,97
2006-07-01,26,30,87
2006-07-02,29,33,98
2006-07-03,25,27,103
2006-07-04,34,33,75
2006-07-05,30,20,118
2006-07-06,27,27,107
2006-07-07,31,27,120
2006-07-08,37,27,108
2006-07-09,29,34,97
2006-07-10,27,26,132
2006-07-11,44,31,116
2006-07-12,25,27,117
2006-07-13,20,21,107
2006-07-14,35,20,116
2006-07-15,40,30,85
2006-07-16,36,29,95
2006-07-17,20,33,134
2006-07-18,24,36,115
2006-07-19,26,23,148
2006-07-20,33,25,123
2006-07-21,32,30,112
2006-07-22,34,36,118
2006-07-23,44,30,98
2006-07-24,29,35,140
2006-07-25,32,33,144
2006-07-26,31,29,141
2006-07-27,27,22,142
2006-07-28,34,36,85
2006-07-29,34,38,106
2006-07-30,32,36,98
